protocol_name,row_number,module_name,question_text,condition,disposition,stop_rule
Unconscious / Unresponsive,32,Determinant Assignment,DELTA-level: Unconscious after sudden collapse — suspected cardiac event,sudden collapse AND unconscious,1,STOP
Unconscious / Unresponsive,33,Determinant Assignment,"CHARLIE-level: Unconscious but breathing normally, responds to pain",unconscious AND breathing AND pain response,2,CONTINUE
Unconscious / Unresponsive,34,Determinant Assignment,CHARLIE-level: Unconscious diabetic — possible hypoglycemia,unconscious AND diabetic,2,CONTINUE
Unconscious / Unresponsive,35,Determinant Assignment,"CHARLIE-level: Postictal state after witnessed seizure, breathing",postictal AND breathing,2,CONTINUE
Unconscious / Unresponsive,36,Determinant Assignment,"BRAVO-level: Altered consciousness — responds to voice, confused, not fully alert",responds to voice AND confused,3,CONTINUE
Unconscious / Unresponsive,37,Determinant Assignment,"BRAVO-level: Fainting episode, now regaining consciousness, oriented",syncope AND recovering,3,CONTINUE
Unconscious / Unresponsive,38,Determinant Assignment,"ALPHA-level: Brief fainting, now fully alert, oriented, no injury",brief syncope AND fully alert AND no injury,4,CONTINUE
Unconscious / Unresponsive,39,Determinant Assignment,"ALPHA-level: Near-syncope, did not fully lose consciousness, stable",near-syncope AND stable,4,CONTINUE
Unconscious / Unresponsive,40,Determinant Assignment,"OMEGA-level: Vasovagal episode with clear trigger, fully recovered, no cardiac history",vasovagal AND recovered AND no cardiac history,5,CONTINUE
Unconscious / Unresponsive,41,Pre-Arrival Instructions,"If not breathing and no pulse: begin CPR immediately. Place the heel of your hand on the center of the chest. Push hard and fast — at least 2 inches deep, 100-120 pushes per minute.",cardiac arrest,0,STOP
Unconscious / Unresponsive,42,Pre-Arrival Instructions,"After 30 compressions, tilt the head back, lift the chin, and give 2 breaths. Watch for the chest to rise.",cardiac arrest CPR,,CONTINUE
Unconscious / Unresponsive,43,Pre-Arrival Instructions,"If an AED is available, turn it on and follow the voice prompts. Do not stop CPR until the AED tells you to.",AED available,,CONTINUE
Unconscious / Unresponsive,44,Pre-Arrival Instructions,If breathing but unconscious: roll the patient onto their side in the recovery position to protect the airway.,unconscious AND breathing,,CONTINUE
Unconscious / Unresponsive,45,Pre-Arrival Instructions,"If there is vomit in the mouth, turn the head to the side and clear it with your finger.",vomit in airway,,CONTINUE
Unconscious / Unresponsive,46,Pre-Arrival Instructions,"If you suspect an opioid overdose and have naloxone (Narcan), administer it now.",opioid overdose suspected,,CONTINUE
Unconscious / Unresponsive,47,Pre-Arrival Instructions,Do NOT give an unconscious patient anything by mouth.,unconscious,,CONTINUE
Unconscious / Unresponsive,48,Pre-Arrival Instructions,Keep the patient warm with a blanket.,all dispositions,,CONTINUE
Unconscious / Unresponsive,49,Case Exit,Stay on the line. Help is on the way. Keep doing CPR if instructed — do not stop until paramedics arrive.,CPR in progress,,CONTINUE
Unconscious / Unresponsive,50,Case Exit,"If anything changes, tell me immediately.",all dispositions,,CONTINUE
Unconscious / Unresponsive,51,Case Exit,Do not hang up until I tell you to.,all dispositions,,CONTINUE
